Category,Name,Price,Type
Wraps,Peri Peri Chicken Wrap,153,Veg
Wraps,Egg Wrap,110,Veg
Wraps,Chicken Wrap,143,Veg
Maincourse,Cottage Cheese Steak,243,Non Veg
Maincourse,Veg Paprika,224,Non Veg
Maincourse,Veg Corn Au Gratin,224,Non Veg
Maincourse,Sauteed Veggies,181,Non Veg
Maincourse,Mac & Cheese,200,Non Veg
Maincourse,Tandoori Paneer Steak,243,Non Veg
Maincourse,Cottage Cheese Twister,243,Non Veg
Maincourse,Veg Lasagna,220,Non Veg
Maincourse,Very Veggies,220,Non Veg
Maincourse,Veg A-La King,224,Non Veg
Maincourse,All American Nachos Veg,224,Non Veg
Maincourse,Fcuk Paneer,243,Non Veg
Maincourse,Chicken Lasagne,272,Veg
Maincourse,Chicken Paprika,262,Veg
Maincourse,Chick Flick,272,Veg
Maincourse,Chicken Diane,291,Veg
Maincourse,3 Pepper Chicken Steak,272,Veg
Maincourse,Classic Stuffed Chicken Steak,315,Veg
Maincourse,Poulet Champignon,281,Veg
Maincourse,California Chicken Steak,315,Veg
Maincourse,Roast Chicken,291,Veg
Maincourse,Classic Chicken Steak,272,Veg
Maincourse,Chicken Stroganoff,272,Veg
Maincourse,Baked Chicken Bavarian,239,Veg
Maincourse,Chicken Marengo,272,Veg
Maincourse,Mediterranean Chicken,305,Veg
Maincourse,Chicken Milanese,305,Veg
Maincourse,All American Nachos Chicken,239,Veg
Maincourse,Chicken with Mint & Rosemary,272,Veg
Maincourse,Hot Pot,272,Veg
Maincourse,Mexican Chicken With Rice,272,Veg
Maincourse,One Flew Over The Cuckoos Nest,281,Veg
Maincourse,Chicken Cafreal With A Thai Twist,281,Veg
Maincourse,Tandoori Chicken Steak [Bone],272,Veg
Maincourse,Roast Lamb,358,Veg
Maincourse,Minced Lamb Steak,291,Veg
Maincourse,London Mix Grill,343,Veg
Maincourse,Grilled Norwegian Fish Steak,296,Veg
Maincourse,Oriental Grilled Fish,277,Veg
Maincourse,Fish Grand Milan,348,Veg
Maincourse,Fish N Chips,277,Veg
Maincourse,Grilled Fish In Lemon Butter Sauce,291,Veg
Maincourse,Prawn In Lemon Cream Sauce,367,Veg
Oriental,Thai Green Curry With Rice (Veg),258,Non Veg
Oriental,Thai Red Curry With Rice (Veg),258,Non Veg
Oriental,Fire & Spice With Rice(Chicken),272,Veg
Oriental,Thai Basil With Rice(Chicken),277,Veg
Oriental,Thai Basil With Rice(Fish),286,Veg
Oriental,Thai Green Curry With Rice (Chicken),286,Veg
Oriental,Fire & Spice With Rice(Fish),286,Veg
Oriental,Thai Red Curry With Rice (Chicken),286,Veg
Oriental,Thai Green Curry With Rice (Fish),358,Veg
Oriental,Thai Green Curry With Rice (Prawn),367,Veg
Oriental,Thai Red Curry With Rice (Prawn),367,Veg
Oriental,Fire & Spice With Rice(Prawn),367,Veg
Oriental,Thai Red Curry With Rice (Fish),367,Veg
Oriental,Thai Basil With Rice(Prawn),367,Veg
Pasta,Pesto Pasta Veg,186,Non Veg
Pasta,Creamy Cheese Sauce Pasta Veg,186,Non Veg
Pasta,Bianca Pasta Veg,186,Non Veg
Pasta,Sundried Tomato Pasta Veg,224,Non Veg
Pasta,Olive Blasta Pasta Veg,220,Non Veg
Pasta,Arrabiata Pasta Veg,186,Non Veg
Pasta,Pinky Pasta Veg,186,Non Veg
